                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0729,                0.89355,                  1.067,                0.98603,                0.97312,                   0.99,                0.81773,                0.66413,                0.39598,                0.87293,               0.070054,              0.0033273,              0.0033273
                      1,                0.78369,                0.50958,                 0.9163,                0.98546,                0.97865,                0.99041,                0.84286,                0.60291,                0.38025,                 0.8637,               0.039791,              0.0063969,              0.0063969
                      2,                0.79263,                0.52847,                0.92543,                0.98019,                0.96573,                0.98907,                0.84299,                0.57267,                0.40832,                 0.8627,              0.0092628,              0.0092024,              0.0092024
                      3,                0.77529,                 0.5117,                0.92351,                0.98571,                0.97586,                0.98975,                0.79443,                0.71333,                0.40302,                0.91798,               0.008812,               0.008812,               0.008812
                      4,                0.72378,                0.48602,                0.91142,                0.98837,                0.97375,                0.99153,                0.85154,                  0.609,                0.37058,                0.87542,               0.008812,               0.008812,               0.008812
                      5,                0.67438,                0.45312,                 0.8979,                0.99423,                0.97757,                0.99172,                0.87237,                0.53731,                0.33933,                0.85314,               0.008416,               0.008416,               0.008416
                      6,                0.64661,                0.42829,                0.88793,                0.99216,                0.97988,                 0.9904,                0.86887,                0.52805,                0.32143,                0.85026,                0.00802,                0.00802,                0.00802
                      7,                0.61275,                0.40913,                0.88191,                0.99019,                0.97653,                0.99116,                0.89518,                0.46625,                0.30106,                0.83548,               0.007624,               0.007624,               0.007624
                      8,                0.58965,                0.39369,                0.87293,                0.98907,                0.98007,                0.98978,                  0.905,                0.41777,                 0.2879,                 0.8241,               0.007228,               0.007228,               0.007228
                      9,                0.56743,                0.38043,                0.86823,                0.99215,                0.98264,                0.99335,                 0.9181,                0.40836,                0.27555,                0.82327,               0.006832,               0.006832,               0.006832
                     10,                0.55298,                0.37177,                0.86476,                0.99387,                0.97629,                0.99263,                0.91855,                0.40795,                0.27071,                0.82118,               0.006436,               0.006436,               0.006436
                     11,                0.53908,                0.36391,                0.86139,                0.99752,                0.97978,                0.99301,                0.92816,                 0.3931,                0.26282,                0.81982,                0.00604,                0.00604,                0.00604
                     12,                0.52122,                0.35308,                0.85553,                0.98945,                0.98056,                0.99108,                0.92275,                0.38402,                0.25579,                 0.8143,               0.005644,               0.005644,               0.005644
                     13,                0.50957,                0.34134,                0.85144,                0.99344,                0.98317,                0.99332,                0.93365,                0.36681,                 0.2445,                 0.8132,               0.005248,               0.005248,               0.005248
                     14,                0.49872,                0.33429,                  0.852,                0.99579,                0.98335,                0.99357,                0.94095,                0.35207,                0.23355,                0.80818,               0.004852,               0.004852,               0.004852
                     15,                0.46516,                0.30884,                0.84495,                0.98784,                0.98424,                0.99326,                0.93368,                0.36749,                 0.2476,                0.81124,               0.004456,               0.004456,               0.004456
                     16,                0.44612,                  0.296,                0.83901,                0.99631,                0.98167,                0.99259,                0.93654,                0.35194,                0.23704,                0.80877,                0.00406,                0.00406,                0.00406
                     17,                0.43584,                0.28775,                0.83535,                0.99217,                0.98255,                0.99288,                0.94287,                0.33952,                0.22599,                0.80672,               0.003664,               0.003664,               0.003664
                     18,                0.41944,                0.27793,                0.83209,                0.99486,                0.98513,                0.99345,                0.94491,                0.33791,                0.22098,                0.80546,               0.003268,               0.003268,               0.003268
                     19,                0.40659,                0.26727,                0.82802,                0.99414,                0.98293,                 0.9931,                0.94923,                0.31273,                0.21052,                0.80053,               0.002872,               0.002872,               0.002872
                     20,                0.39149,                0.26058,                0.82258,                0.99438,                0.98191,                0.99403,                0.94824,                0.31106,                0.20815,                0.79942,               0.002476,               0.002476,               0.002476
                     21,                0.38086,                0.25147,                0.82097,                0.99587,                0.98541,                0.99411,                0.95584,                 0.3051,                 0.2008,                0.79954,                0.00208,                0.00208,                0.00208
                     22,                0.36918,                0.24338,                0.81948,                0.99423,                0.98653,                0.99324,                0.95518,                0.29198,                0.19261,                0.79596,               0.001684,               0.001684,               0.001684
                     23,                0.35801,                0.24405,                0.81556,                0.99108,                0.98846,                0.99239,                0.95407,                0.28734,                0.18999,                0.79557,               0.001288,               0.001288,               0.001288
                     24,                0.34501,                0.22559,                0.81325,                0.99228,                0.98664,                0.99303,                0.95783,                0.27847,                 0.1821,                0.79272,               0.000892,               0.000892,               0.000892
